,0,1
656,2300,742
657,1100,209
658,1800,1080
659,3000,1045
660,2500,949
661,2000,88
662,1600,506
663,1500,652
664,1100,809
665,200,214
666,700,335
667,2100,506
668,500,914
669,1400,333
670,1500,639
671,1800,1044
672,900,333
673,3500,648
674,700,553
675,900,553
676,2000,717
677,2100,583
678,3500,704
679,1000,333
680,1000,1083
681,1400,1079
682,200,717
683,1200,1108
684,1200,188
685,700,767
686,1700,367
687,800,367
688,1200,977
689,2500,519
690,1000,915
691,2500,400
692,3700,1083
693,1700,518
694,1700,717
695,2000,948
696,1500,1110
697,1200,76
698,2400,1074
699,900,717
700,800,1086
701,1000,1084
702,2000,949
703,1200,335
704,900,292
705,1700,1042
706,2000,1110
707,1800,1043
708,3600,773
709,1600,858
710,2000,915
711,1500,1040
712,1500,337
713,400,554
714,1500,702
715,500,652
716,1400,1110
717,4000,747
718,700,476
719,3000,949
720,2500,520
721,1200,1043
722,1800,519
723,3000,920
724,800,504
725,1900,983
726,1400,949
727,1100,402
728,1400,808
729,300,518
730,2000,172
731,3000,518
732,1100,470
733,1700,922
734,300,451
735,1000,67
736,1000,475
737,2600,742
738,1400,1043
739,1400,948
740,1400,984
741,1900,290
742,2500,518
743,1400,701
744,1500,109
745,800,645
746,2000,742
747,2000,1053
748,2800,1079
749,2200,580
750,200,983
751,2600,1053
752,2000,949
753,1000,153
754,100,185
755,1000,110
756,3000,650
757,2700,920
758,700,703
759,500,191
760,1800,65
761,1100,890
762,1700,915
763,1500,137
764,1600,870
765,2000,719
766,2400,916
767,2000,521
768,1800,718
769,5000,1085
770,1200,984
771,600,699
772,300,53
773,2500,1053
774,1500,1041
775,2500,719
776,3100,921
777,1200,290
778,800,948
779,1600,1043
780,1500,369
781,1500,1079
782,1300,166
783,2000,949
784,1900,918
785,4000,979
786,2200,741
787,1500,521
788,2100,506
789,1600,773
790,600,1040
791,1600,1044
792,2300,744
793,1200,341
794,600,717
795,2500,767
796,1300,889
797,1800,1041
798,2500,984
799,1600,984
800,2500,890
801,1300,922
802,1000,299
803,1300,644
804,800,471
805,3400,1075
806,1900,704
807,2500,1041
808,800,163
809,1200,878
810,2000,520
811,2500,518
812,2300,949
813,1200,448
814,200,506
815,600,1042
816,1500,1079
817,500,771
818,1500,717
819,2100,1044
820,1000,1083
821,100,1109
822,4000,950
823,800,370
824,1700,644
825,3000,984
826,1300,369
827,2100,772
828,1900,471
829,1000,72
830,2300,137
831,2000,554
832,2300,1042
833,400,889
834,1400,470
835,1100,290
836,2600,203
837,1600,299
838,1200,748
839,1000,1110
840,700,688
841,1600,369
842,2000,949
843,2200,883
844,1000,642
845,1200,745
846,3300,1046
847,800,654
848,1700,400
849,800,70
850,2600,980
851,2600,985
852,1200,299
853,1200,768
854,2000,650
855,1300,875
856,3300,553
857,1400,152
858,1700,915
859,1000,476
860,3000,1039
861,1400,1053
862,1200,122
863,600,69
864,2000,518
865,1700,742
866,600,294
867,1600,871
868,1200,405
869,1700,471
870,1800,520
871,500,915
872,4000,921
873,4500,744
874,600,742
875,1400,654
876,400,519
877,2600,1040
878,600,553
879,2500,1075
880,1000,681
881,1300,553
882,0,220
883,2000,519
884,1500,577
885,800,370
886,700,949
887,1000,473
888,1500,1037
889,2400,1037
890,2100,1044
891,1000,876
892,1800,742
893,800,1074
894,2600,1104
895,3200,1041
896,2000,717
897,1000,505
898,3800,774
899,900,220
900,1300,506
901,2000,644
902,1200,577
903,900,473
904,2800,579
905,1000,163
906,900,76
907,1000,978
908,2400,1110
909,1300,335
910,2000,505
911,3500,1104
912,3900,1075
913,1200,704
914,2500,1044
915,1800,652
916,3000,918
917,1000,774
918,2000,977
919,2500,577
920,1500,744
921,1100,400
922,3500,1111
923,1200,76
924,1000,403
925,1400,553
926,400,767
927,1000,768
928,1600,504
929,3500,1075
930,2000,1108
931,1500,948
932,1500,518
933,1900,292
934,1400,1053
935,800,506
936,1100,1042
937,1000,949
938,1500,400
939,700,1108
940,1600,553
941,1000,160
942,1000,201
943,600,697
944,0,983
945,1400,865
946,1200,405
947,700,146
948,2000,1108
949,1100,160
950,1300,470
951,2500,918
952,2100,337
953,2100,197
954,1000,368
955,2000,403
956,1100,889
957,1600,506
958,1100,335
959,2000,520
960,2200,303
961,200,23
962,800,550
963,1000,1109
964,1200,914
965,400,366
966,2500,1080
967,2000,290
968,2400,702
969,800,287
970,800,1109
971,500,476
972,1400,1103
973,2900,949
974,2000,400
975,1400,984
976,2600,196
977,2000,948
978,3000,1049
979,2200,883
980,2400,766
981,2000,1080
982,2600,579
983,2000,983
984,1600,719
985,500,1108
986,1500,197
987,1800,808
988,1100,504
989,700,335
990,2800,1083
991,1600,58
992,3000,920
993,2300,808
994,2000,984
995,1600,717
996,1700,333
997,900,403
998,2600,920
999,1500,214
1000,1600,519
1001,500,370
1002,1800,300
1003,900,551
1004,3700,335
1005,800,191
1006,700,699
1007,1000,1044
1008,1300,745
1009,3200,948
1010,2100,583
1011,1900,890
1012,1000,504
1013,2200,742
1014,1500,299
1015,600,681
1016,1400,984
1017,1000,519
1018,2500,140
1019,600,1037
1020,1500,878
1021,2100,921
1022,1700,702
1023,3000,918
1024,1500,1107
1025,1600,402
1026,800,867
1027,500,1039
1028,600,214
1029,1500,949
1030,1600,551
1031,800,453
1032,1700,520
1033,600,767
1034,700,554
1035,2900,1083
1036,1500,367
1037,1500,506
1038,2000,920
1039,2300,1077
1040,1700,858
1041,800,504
1042,1200,978
1043,2300,576
1044,2000,1111
1045,1400,648
1046,1500,153
1047,1800,984
1048,1500,1043
1049,1300,186
1050,2800,983
1051,400,889
1052,500,885
1053,1300,287
1054,300,1108
1055,2000,1037
1056,1700,553
1057,1500,370
1058,2200,742
1059,800,691
1060,2700,553
1061,1800,948
1062,800,307
1063,1500,367
1064,1300,768
1065,1300,76
1066,2100,300
1067,1200,77
1068,2000,63
1069,700,518
1070,1000,401
1071,800,475
1072,1000,1108
1073,1100,290
1074,2000,978
1075,1500,949
1076,900,504
1077,2100,580
1078,1500,155
1079,2000,299
1080,3000,875
1081,700,1037
1082,800,1086
1083,700,61
1084,4000,335
1085,1200,552
1086,900,160
1087,2000,220
1088,3100,582
1089,1600,767
1090,1300,718
1091,2000,742
1092,1800,335
1093,1100,125
1094,3500,194
1095,1500,1110
1096,1000,745
1097,1500,948
1098,2500,749
1099,800,462
1100,1000,914
1101,2500,867
1102,1000,447
1103,2000,978
1104,3500,948
1105,1800,84
1106,1100,807
1107,1100,472
1108,1500,1108
1109,1500,404
1110,1000,742
1111,1700,553
1112,1000,1037
1113,100,214
