,Parent,Child,Day,TimeSpan,DistanceMeter,In5Mins
9091,강동,성내,0,9,600,1
9092,서대문,미근,0,9,3000,1
9093,용산,이태원,0,12,600,1
9094,강남,역삼,0,13,2000,1
9095,종로,신교,0,13,2000,1
9096,성동,금호,0,16,2300,0
9097,도봉,도봉,0,18,2900,1
9098,강남,삼성,0,19,1700,1
9099,양천,신정,0,20,1200,1
9100,광진,능동,0,23,1600,1
9101,관악,신림,1,5,1500,1
9102,동대문,전농,1,7,1000,1
9103,동작,백운,1,7,3000,0
9104,중랑,망우,1,9,1500,1
9105,용산,한강로,1,9,300,1
9106,강동,천호,1,10,1900,0
9107,강동,천호,1,10,1200,1
9108,관악,봉천,1,11,2700,0
9109,양천,양천,1,11,1900,1
9110,구로,시흥,1,11,1500,1
9111,마포,염리,1,12,500,1
9112,성북,종암,1,13,400,1
9113,영등포,당산,1,13,2300,0
9114,강서,개화,1,13,2000,0
9115,성북,장위,1,14,1200,1
9116,관악,관악,1,15,2400,0
9117,종로,연건,1,15,1200,1
9118,양천,신정,1,15,2000,1
9119,강서,화곡,1,16,2000,0
9120,영등포,영등포,1,17,2000,1
9121,서대문,홍은,1,19,2700,1
9122,동작,노량진,1,19,2400,1
9123,용산,후암,1,19,1500,1
9124,송파,마천,1,19,1200,1
9125,용산,이태원,1,20,1000,1
9126,강남,삼성,1,22,1800,1
9127,강동,성내,1,22,2000,1
9128,성동,행당,1,23,700,1
9129,서초,서초,2,0,2000,1
9130,송파,가락,2,1,1500,1
9131,동작,노량진,2,1,1700,1
9132,용산,이태원,2,3,1200,1
9133,관악,관악,2,5,2500,1
9134,송파,가락,2,12,1400,1
9135,관악,난곡,2,13,2400,0
9136,마포,서교,2,15,1100,1
9137,은평,녹번,2,16,1900,1
9138,용산,한강로,2,16,600,1
9139,서대문,연희,2,16,3000,1
9140,동대문,장안,2,20,300,1
9141,강남,역삼,2,20,900,1
9142,강서,화곡,2,21,2200,1
9143,강동,고덕,2,21,1500,1
9144,강남,삼성,2,21,1800,1
9145,동대문,장안,2,23,1200,1
9146,서초,서초,3,2,800,1
9147,관악,난곡,3,3,1900,0
9148,관악,신림,3,8,1000,1
9149,용산,서빙고,3,10,1000,1
9150,강남,수서,3,15,1200,1
9151,관악,봉천,3,15,1600,1
9152,마포,서교,3,16,1800,1
9153,강동,천호,3,17,1200,1
9154,동작,노량진,3,20,800,1
9155,도봉,쌍문,4,0,500,1
9156,광진,능동,4,3,1900,0
9157,용산,이촌,4,6,2500,0
9158,구로,공단,4,8,1200,1
9159,도봉,창동,4,9,1500,1
9160,구로,공단,4,13,2200,0
9161,종로,연건,4,14,1100,1
9162,관악,봉천,4,15,1700,1
9163,강북,미아,4,16,1000,1
9164,마포,서교,4,18,1400,1
9165,동대문,용두,4,20,1500,1
9166,강남,삼성,4,20,1200,1
9167,마포,염리,4,22,700,1
9168,강남,세곡,4,23,1300,1
9169,중랑,중화,5,1,1100,1
9170,중랑,면목,5,1,1000,1
9171,마포,신수,5,3,1300,1
9172,강서,등촌,5,4,800,1
9173,송파,가락,5,7,2000,1
9174,동대문,용두,5,9,1100,1
9175,영등포,당산,5,13,2000,0
9176,마포,서교,5,15,1100,1
9177,관악,신림,5,15,500,1
9178,서초,잠원,5,18,3000,1
9179,서대문,홍은,5,19,1200,1
9180,중부,무학,5,21,500,1
9181,강서,발산,5,22,1400,1
9182,은평,녹번,5,22,1100,1
9183,서대문,연희,5,23,1200,1
9184,마포,신수,5,23,800,1
9185,동대문,휘경,6,2,1100,1
9186,강남,영동,6,3,1700,1
9187,강동,고덕,6,6,1500,1
9188,강북,삼각산,6,7,1100,1
9189,구로,구로,6,9,600,1
9190,영등포,영등포,6,10,1500,1
9191,중랑,신내,6,13,1500,1
9192,용산,후암,6,14,1200,1
9193,송파,잠실,6,14,1100,1
9194,강남,영동,6,18,2400,1
9195,중랑,중화,6,18,2000,1
9196,용산,한강로,6,20,500,1
9197,강서,화곡,6,21,1700,1
9198,양천,신정,6,21,1400,1
9199,중랑,면목,6,23,800,1
9200,강남,삼성,6,23,1000,1
9201,서대문,북가좌,0,0,900,1
9202,강남,삼성,0,0,1700,1
9203,은평,수색,0,1,800,1
9204,동작,노량진,0,5,1200,1
9205,양천,목동,0,6,1000,1
9206,은평,수색,0,8,600,1
9207,서대문,북가좌,0,10,300,1
9208,중부,을지,0,11,1000,1
9209,영등포,대림,0,13,1500,1
9210,동대문,장안,0,13,700,1
9211,송파,거여,0,13,1200,1
9212,은평,녹번,0,14,2800,1
9213,용산,서빙고,0,14,1000,1
9214,영등포,대림,0,14,1500,1
9215,강서,등촌,0,15,900,1
9216,구로,구로,0,16,800,1
9217,서대문,연희,0,16,2500,1
9218,노원,월계,0,17,400,1
9219,용산,후암,0,18,1300,1
9220,강남,역삼,0,18,2800,0
9221,도봉,창동,0,19,2000,1
9222,중부,무학,0,19,500,1
9223,강남,세곡,0,19,2300,1
9224,강북,우이,0,20,800,1
9225,구로,고일,0,20,2300,1
9226,구로,시흥,0,22,1500,1
9227,송파,거여,0,23,300,1
9228,성북,종암,1,1,1500,1
9229,성북,길음,1,2,1100,1
9230,강남,역삼,1,2,600,1
9231,강남,영동,1,7,700,1
9232,동대문,장안,1,8,1000,1
9233,서대문,미근,1,9,2100,1
9234,성동,금호,1,10,1100,1
